name,eircode,latitude,longitude,postal_town
Fairview,D22,53.31899,-6.40998,Dublin
Farmersvale,W91,53.25474,-6.53159,Naas
Farranboley,D14,53.30497,-6.2455,Dublin
Feltrim,K67,53.43571,-6.19468,Swords
Fieldstown,K67,53.49775,-6.3264,Swords
Finglas,D11,53.39032,-6.29841,Dublin
Finnstown,K78,53.33945,-6.46082,Lucan
Firhouse,D24,53.28173,-6.34215,Dublin
Flacketstown,K32,53.56861,-6.30174,Balbriggan
Flemingtown,K32,53.61732,-6.21799,Balbriggan
Folkstown Little,K32,53.59745,-6.21438,Balbriggan
Folly,A45,53.52445,-6.36491,Oldtown
Fonthill,D20,53.3593,-6.4028,Dublin
Forrestfields,K67,53.45137,-6.23476,Swords
Forrest Great,K67,53.44257,-6.26191,Swords
Forrest Little,K67,53.43732,-6.24712,Swords
Fortunestown,D24,53.28372,-6.43112,Dublin
Fortyacres,K32,53.60541,-6.26617,Balbriggan
Fosterstown North,K67,53.44585,-6.23877,Swords
Fosterstown South,K67,53.44021,-6.23884,Swords
Fox-And-Geese,D22,53.32108,-6.35837,Dublin
Fox-And-Geese Common,D12,53.32485,-6.3618,Dublin
Fox & Geese,D12,53.32756,-6.3698,Dublin
Foxrock,D18,53.26858,-6.18299,Dublin
Gallanstown,D15,53.43756,-6.38038,Dublin
Galloping Green North,A94,53.28232,-6.18856,Blackrock
Galloping Green South,A94,53.27525,-6.19505,Blackrock
Gardenershill,K32,53.59668,-6.18805,Balbriggan
Garranswood,D22,53.30749,-6.38134,Dublin
Garristown,A42,53.56633,-6.38971,Garristown
Gerrardstown,A41,53.54037,-6.27427,Ballyboughal
Gibbons,D24,53.27756,-6.42017,Dublin
Gibbonsmoor,K32,53.5849,-6.19664,Balbriggan
Gibraltar,D22,53.3138,-6.40765,Dublin
Glasnevin,D11,53.38283,-6.27629,Dublin
Glasnevin North,D11,53.39065,-6.27935,Dublin
Glassamucky,D24,53.24612,-6.36619,Dublin
Glassamucky Brakes,D24,53.22429,-6.32696,Dublin
Glassamucky Mountain,D24,53.22531,-6.31733,Dublin
Glassavullaun,D24,53.21818,-6.36526,Dublin
Glasthule,A96,53.28734,-6.12736,Glenageary
Glebe,D18,53.24226,-6.20305,Dublin
Glebe East,A42,53.57444,-6.35334,Garristown
Glebe North,K32,53.59853,-6.18631,Balbriggan
Glebe South,K32,53.5842,-6.19369,Balbriggan
Glebe West,A42,53.56787,-6.40303,Garristown
Glenagarey,A96,53.28261,-6.13208,Glenageary
Glenamuck North,D18,53.24553,-6.19609,Dublin
Glenamuck South,D18,53.23932,-6.19112,Dublin
Glenaraneen,D24,53.2432,-6.46086,Dublin
Glencullen,D18,53.21816,-6.22695,Dublin
Grange,K34,53.57134,-6.15347,Skerries
Greatcommon,K45,53.53655,-6.16084,Lusk
Greenfields,K67,53.46157,-6.20654,Swords
Greenhills,D12,53.31229,-6.33639,Dublin
Greenoge,D24,53.29498,-6.47846,Dublin
Greenwood,K67,53.43037,-6.19644,Swords
Hacketstown,K34,53.56246,-6.11553,Skerries
Haystown,K45,53.53331,-6.12317,Lusk
